date,description,amount,category
2024-01-01,PAYROLL DEPOSIT COMPANY ABC,3500.00,Salaries
2024-01-02,GROCERY STORE WALMART,85.50,Procurement
2024-01-03,ELECTRIC BILL PAYMENT,120.00,Utilities
2024-01-04,UBER RIDE DOWNTOWN,25.00,Travel
2024-01-05,OFFICE SUPPLIES STAPLES,145.99,Procurement
2024-01-06,SALARY DIRECT DEPOSIT,4200.00,Salaries
2024-01-07,GAS UTILITY BILL,89.30,Utilities
2024-01-08,HOTEL BOOKING EXPEDIA,450.00,Travel
2024-01-09,SOFTWARE LICENSE ADOBE,29.99,Procurement
2024-01-10,PHONE BILL VERIZON,78.45,Utilities
2024-01-11,CONTRACTOR PAYMENT,1500.00,Salaries
2024-01-12,AIRLINE TICKET DELTA,650.00,Travel
2024-01-13,ANOMALY HUGE PURCHASE,15000.00,Procurement
2024-01-14,WATER BILL PAYMENT,45.20,Utilities
2024-01-15,FREELANCE PAYMENT,800.00,Salaries
